Codice Scuola,Denominazione,Comune,Indirizzo,indirizzo_completo,latitudine,longitudine,km_bici,minuti_bici,distanza_km,codice scuola,denominazione scuola,sum_COMUNE,sum_CON METODO MONTESSORI,sum_SOSTEGNO PSICOFISICO
MIAA88900E,IC COPERNICO,CORSICO,"Via Don Sturzo 15, 20094 CORSICO MI","lombardia, italia, via don sturzo 15, 20094 corsico mi, corsico",45.4270926,9.0854178,27.19,94.93,33.59,MIAA88900E,IC COPERNICO,4,0,1
MIAA89000P,"IC R, FRANCESCHI",TREZZANO SUL NAVIGLIO,"Via Isonzo 1, 20090 TREZZANO SUL NAVIGLIO MI","lombardia, italia, via isonzo 1, 20090 trezzano sul naviglio mi, trezzano sul naviglio",45.4234276,9.074843,28.92,101.34,35.04,MIAA89000P,"IC R, FRANCESCHI",5,0,1
MIAA893006,IC ENRICO FERMI,SAN GIULIANO MILANESE,"Via Giovanni XXIII 1, 20098 SAN GIULIANO MILANESE MI","lombardia, italia, via giovanni xxiii 1, 20098 san giuliano milanese mi, san giuliano milanese",45.3991716,9.2790356,25.32,86.75,22.2,MIAA893006,IC ENRICO FERMI,5,0,0
MIAA89500T,IC MONTESSORI,SAN GIULIANO MILANESE,"Via Giovanni XXIII 6, 20098 SAN GIULIANO MILANESE MI","lombardia, italia, via giovanni xxiii 6, 20098 san giuliano milanese mi, san giuliano milanese",45.3991716,9.2790356,25.32,86.75,22.2,MIAA89500T,IC MONTESSORI,4,0,0
MIAA89700D,IC PAOLO FRISI,MELEGNANO,"Via Frisi 2, 20077 MELEGNANO MI","lombardia, italia, via frisi 2, 20077 melegnano mi, melegnano",45.3575491,9.3251369,28.74,97.92,29.71,MIAA89700D,IC PAOLO FRISI,5,0,0
MIAA898009,IC G.DEZZA,MELEGNANO,"Via Dezza 4, 20077 MELEGNANO MI","lombardia, italia, via dezza 4, 20077 melegnano mi, melegnano",45.35812,9.3280914,28.49,97.04,29.97,MIAA898009,IC G.DEZZA,6,0,0
MIAA8A100N,IC ANNA FRANK,SESTO SAN GIOVANNI,"Via Boccaccio 9, 20099 SESTO SAN GIOVANNI MI","lombardia, italia, via boccaccio 9, 20099 sesto san giovanni mi, sesto san giovanni",45.5485125,9.2411974,7.86,26.3,7.44,MIAA8A100N,IC ANNA FRANK,6,0,2
MIAA8A200D,IC EUGENIO CURIEL,PAULLO,"Via Milano 33, 20067 PAULLO MI","lombardia, italia, via milano 33, 20067 paullo mi, paullo",45.4160042,9.3990548,22.37,77.37,30.86,MIAA8A200D,IC EUGENIO CURIEL,8,0,1
MIAA8A3009,IC DELLA MARGHERITA,VIZZOLO PREDABISSI,"Via Moneta 1, 20070 VIZZOLO PREDABISSI MI","lombardia, italia, via moneta 1, 20070 vizzolo predabissi mi, vizzolo predabissi",45.3598155,9.3436279,29.1,98.93,32.57,MIAA8A3009,IC DELLA MARGHERITA,3,0,0
MIAA8A600R,I.C. ALDA FAIP0',GESSATE,"Via Fratelli Rosselli 1, 20060 GESSATE MI","lombardia, italia, via fratelli rosselli 1, 20060 gessate mi, gessate",45.5508628,9.4340407,12.13,40.61,13.41,MIAA8A600R,I.C. ALDA FAIP0',5,0,2
MIAA8A800C,I.C. RITA LEVI-MONTALCINI,BOLLATE,"Via Montessori 1, 20021 BOLLATE MI","lombardia, italia, via montessori 1, 20021 bollate mi, bollate",45.5459457,9.1234009,17.9,60.37,22.17,MIAA8A800C,I.C. RITA LEVI-MONTALCINI,0,0,1
MIAA8A9008,IC GIANNI RODARI,BARANZATE,"Via Trieste 1, 20021 BARANZATE MI","lombardia, italia, via trieste 1, 20021 baranzate mi, baranzate",45.5265297,9.1170225,19.34,66.03,22.16,MIAA8A9008,IC GIANNI RODARI,0,0,1
MIAA8AB00D,IC FABRIZIO DE ANDRE',PESCHIERA BORROMEO,"Via Europa 2, 20068 PESCHIERA BORROMEO MI","lombardia, italia, via europa 2, 20068 peschiera borromeo mi, peschiera borromeo",45.4292639,9.3144431,18.92,64.88,22.27,MIAA8AB00D,IC FABRIZIO DE ANDRE',3,0,0
MIAA8AN001,IC M.TERESA DI CALCUTTA,MILANO,"Via Saponaro 36, 20142 MILANO MI","lombardia, italia, via saponaro 36, 20142 milano mi, milano",45.4065095,9.1731126,24.88,86.34,32.67,MIAA8AN001,IC M.TERESA DI CALCUTTA,0,0,2
MIAA8AQ001,IC CARLO E. BUSCAGLIA,CINISELLO BALSAMO,"Via Giolitti 2, 20092 CINISELLO BALSAMO MI","lombardia, italia, via giolitti 2, 20092 cinisello balsamo mi, cinisello balsamo",45.5715425,9.2111598,10.69,35.86,12.38,MIAA8AQ001,IC CARLO E. BUSCAGLIA,2,0,2
MIAA8AR00R,IC G. GARIBALDI,CINISELLO BALSAMO,"Via Friuli 6, 20092 CINISELLO BALSAMO MI","lombardia, italia, via friuli 6, 20092 cinisello balsamo mi, cinisello balsamo",45.555441,9.2093264,10.18,34.25,11.97,MIAA8AR00R,IC G. GARIBALDI,0,0,3
MIAA8AV00T,IC EMANUELA LOI,MEDIGLIA,"Via Mascagni 12, 20060 MEDIGLIA MI","lombardia, italia, via mascagni 12, 20060 mediglia mi, mediglia",45.3951607,9.3286425,23.63,80.65,25.44,MIAA8AV00T,IC EMANUELA LOI,14,0,1
MIAA8AX00D,IC E. FERMI,CUSANO MILANINO,"Via Monti 1, 20095 CUSANO MILANINO MI","lombardia, italia, via monti 1, 20095 cusano milanino mi, cusano milanino",45.551209,9.1856613,12.04,40.8,14.87,MIAA8AX00D,IC E. FERMI,0,0,1
MIAA8AY009,GIOVANNI XXIII,CUSANO MILANINO,"Via Roma 15, 20095 CUSANO MILANINO MI","lombardia, italia, via roma 15, 20095 cusano milanino mi, cusano milanino",45.5547093,9.1878158,12.16,41.15,14.84,MIAA8AY009,GIOVANNI XXIII,1,0,0
MIAA8B000C,I. C. CLAUDIO ABBADO,VIMODRONE,"Via Stoppani 5, 20055 VIMODRONE MI","lombardia, italia, via stoppani 5, 20055 vimodrone mi, vimodrone",45.515756,9.2856571,6.59,23.06,6.35,MIAA8B000C,I. C. CLAUDIO ABBADO,2,0,0
MIAA8B300X,IC A. DIAZ,VAPRIO D'ADDA,"Via Diaz 1, 20069 VAPRIO D'ADDA MI","lombardia, italia, via diaz 1, 20069 vaprio d'adda mi, vaprio d'adda",45.5757676,9.5264968,21.08,71.78,22.71,MIAA8B300X,IC A. DIAZ,0,0,5
MIAA8B500G,IC A.MANZONI,POZZUOLO MARTESANA,"Via Martiri della Libertà 13, 20060 POZZUOLO MARTESANA MI","lombardia, italia, via martiri della libertà 13, 20060 pozzuolo martesana mi, pozzuolo martesana",45.5188362,9.4571674,18.49,62.91,19.11,MIAA8B500G,IC A.MANZONI,1,0,1
